year,ifs,cowcode,country.x,police,polity2_P4,additive_FA,additive_FA_lagged,gdp_WDI_log10,gdp_WDI,pop_WDI_log10,pop_WDI,cameo_protests,trade_WDI,lji_LS,repress_index,repress_index_lagged,geocode,countryname,auton,author
1995,TCD,483,Chad,1,-4,3,3,9.530667896,3393656609,6.845727001,7010145,2,55.69655657,0.0184,5,5,Chad,Chad,0,0
1995,USA,2,United States of America,0,10,7,7,13.00931914,10200000000000,8.425335286,266278000,0,22.45338165,0.990400016,1,1,United States,USA,1,1
1995,VEN,101,Venezuela,1,8,1,1,11.44460995,278000000000,7.341060098,21931084,6,47.34234294,0.472499996,7,7,Venezuela,Venezuela,0,1
1996,ARG,160,Argentina,1,7,5,7,11.44989167,282000000000,7.547114445,35246374,8,21.50646841,0.448900014,3,1,Argentina,Argentina,0,1
1996,AUS,900,Australia,0,10,7,8,11.854402,715000000000,7.262712063,18311000,32,38.33233194,0.98360002,1,0,Australia,Australia,0,1
1996,AUT,305,Austria,1,10,8,7,11.47310433,297000000000,6.900859432,7959017,1,70.08367112,0.976000011,0,1,Austria,Austria,0,1
1996,BEL,211,Belgium,0,10,8,8,11.55277039,357000000000,7.006749931,10156637,9,119.2127758,0.968299985,0,0,Belgium,Belgium,0,1
1996,BEN,434,Benin,1,6,8,8,9.590217015,3892395974,6.784920907,6094259,1,56.51779145,0.477100015,0,0,Benin,Benin,0,1
1996,BGD,771,Bangladesh,1,6,3,3,10.74294329,55327785139,8.07059168,117649932,76,26.07608772,0.466300011,5,5,Bangladesh,Bangladesh,0,0
1996,BGR,355,Bulgaria,1,8,4,5,10.50535295,32014958711,6.922353061,8362826,13,86.58947271,0.594500005,4,3,Bulgaria,Bulgaria,0,0
1996,BHR,692,Bahrain,1,-9,3,4,10.10918732,12858411436,5.762427966,578666,22,164.1154193,0.235599995,5,4,Bahrain,Bahrain,0,0
1996,BLR,370,Belarus (Byelorussia),0,-7,4,5,10.33749189,21751633964,7.006893708,10160000,34,96.77489979,0.172199994,4,3,Belarus,Belarus,0,0
1996,BRA,140,Brazil,1,8,4,2,12.1505139,1410000000000,8.216468583,164614688,3,15.63559148,0.54430002,4,6,Brazil,Brazil,0,1
1996,BWA,571,Botswana,1,7,7,6,9.847373546,7036773076,6.17745858,1504730,0,90.95557528,0.782800019,1,2,Botswana,Botswana,0,1
1996,CAF,482,Central African Republic,1,5,5,5,9.140142758,1380838088,6.519596089,3308233,4,47.08440503,0.299800009,3,3,Central African Republic,Cent. Af. Rep.,0,0
1996,CAN,20,Canada,0,10,8,8,12.01383958,1030000000000,7.471441605,29610218,14,70.49052359,0.981999993,0,0,Canada,Canada,0,1
1996,CHL,155,Chile,1,8,5,4,11.08969321,123000000000,7.163976999,14587370,2,54.7679748,0.678900003,3,4,Chile,Chile,0,0
1996,CIV,437,Cote D<U+0092>Ivoire,1,-6,4,1,10.31355785,20585330896,7.166285828,14665127,0,73.51927601,0.282400012,4,7,Ivory Coast,Cote d'Ivoire,0,0
1996,COL,100,Colombia,1,7,0,0,11.27348047,188000000000,7.569097407,37076387,31,36.04410719,0.529299974,8,8,Colombia,Colombia,0,1
1996,CUB,40,Cuba,0,-7,3,3,10.52439005,33449532210,7.038989255,10939293,0,32.62533361,0.038600001,5,5,Cuba,Cuba,0,0
1996,CZE,316,Czech Republic,0,10,8,5,11.16108937,145000000000,7.013479379,10315241,3,81.49325044,0.900600016,0,3,Czech Republic,Czech Rep.,0,1
1996,DEU,255,German Federal Republic,0,10,8,8,12.45702608,2860000000000,7.91336254,81914831,0,45.00562096,0.977699995,0,0,Germany,FRG/Germany,0,1
